iter	Logloss
0	0.6860391539
1	0.6798331623
2	0.6728271822
3	0.6664988388
4	0.6602413839
5	0.6543609507
6	0.6486516861
7	0.6430066661
8	0.6374601808
9	0.6316601517
10	0.626100322
11	0.6211355287
12	0.6158260331
13	0.6115523898
14	0.6074840363
15	0.6035348252
16	0.5991597193
17	0.5949950271
18	0.5909204237
19	0.5873393379
20	0.5840798691
21	0.5801713669
22	0.5765404508
23	0.572652669
24	0.5694482107
25	0.5657299084
26	0.5626916076
27	0.5600414206
28	0.5565285208
29	0.5537583467
30	0.550601185
31	0.5474101274
32	0.5445102818
33	0.5416722597
34	0.5388317601
35	0.5361255491
36	0.5338193323
37	0.5316248257
38	0.5282865292
39	0.5260408972
40	0.5234962829
41	0.5214693977
42	0.5191824938
43	0.5170459255
44	0.5150256843
45	0.5126439619
46	0.5103062704
47	0.5085817457
48	0.5065785088
49	0.5043235863
50	0.5019924825
51	0.4998244395
52	0.4982559373
53	0.4965825943
54	0.4945938842
55	0.493029605
56	0.4914665081
57	0.4897278508
58	0.4881399795
59	0.4862690042
60	0.484238234
61	0.4825848794
62	0.4812973417
63	0.4795561505
64	0.4780102269
65	0.4766163281
66	0.4753263692
67	0.4736442988
68	0.4720210677
69	0.4705979745
70	0.4694136166
71	0.4678862737
72	0.4663456991
73	0.4649472677
74	0.4631438308
75	0.4620648486
76	0.4609311938
77	0.458504061
78	0.4576282572
79	0.4559352354
80	0.4546444319
81	0.4536934603
82	0.452323801
83	0.4507621962
84	0.449544421
85	0.44817113
86	0.4470349977
87	0.4458426162
88	0.4446024596
89	0.4434164688
90	0.4419711067
91	0.4407334275
92	0.4399305111
93	0.4388864665
94	0.4379879716
95	0.4369079196
96	0.4361715282
97	0.4347577535
98	0.4339547245
99	0.4330027394
100	0.4316764634
101	0.4308226751
102	0.4300199839
103	0.4289974199
104	0.4277534344
105	0.4266659219
106	0.4254993565
107	0.4239998005
108	0.4228025767
109	0.4213840724
110	0.4205236681
111	0.419649469
112	0.4181962805
113	0.4171069381
114	0.4161126394
115	0.4152315147
116	0.4143513472
117	0.4131204528
118	0.4121003943
119	0.4111019571
120	0.4103073739
121	0.4095984315
122	0.4086355512
123	0.4077128449
124	0.4070669927
125	0.4061968476
126	0.405452855
127	0.4048322276
128	0.4042109528
129	0.4035361315
130	0.4026561329
131	0.4017858189
132	0.4011694708
133	0.4005802901
134	0.3991928382
135	0.3987193653
136	0.3980716832
137	0.3976517568
138	0.3968861429
139	0.3958809772
140	0.3948421408
141	0.3940386614
142	0.3932285379
143	0.3921629564
144	0.3912162358
145	0.3906044766
146	0.3894816888
147	0.3887857529
148	0.3882326077
149	0.3878968017
150	0.3860812592
151	0.3853689947
152	0.3842186734
153	0.3836215255
154	0.3831362003
155	0.3821881284
156	0.3814544115
157	0.3807470455
158	0.3801795143
159	0.3792524725
160	0.3786825483
161	0.3779366412
162	0.377504947
163	0.3767918661
164	0.37607673
165	0.3752050928
166	0.3744309485
167	0.3736090291
168	0.3730750841
169	0.3726273709
170	0.3721906373
171	0.3716904193
172	0.3710947072
173	0.3706035544
174	0.370149169
175	0.3696274986
176	0.3689812241
177	0.3683310646
178	0.36788124
179	0.3673051785
180	0.3667238243
181	0.3662100929
182	0.3656197298
183	0.3650102791
184	0.3645064013
185	0.3638401946
186	0.3634784881
187	0.3628536098
188	0.3622324194
189	0.3614516311
190	0.3607899852
191	0.3603477619
192	0.3598766257
193	0.3592101375
194	0.3587186468
195	0.3584048
196	0.3578972623
197	0.357355885
198	0.3567761073
199	0.3562180635
200	0.3559277524
201	0.3553574903
202	0.3549443488
203	0.3544287594
204	0.3539588055
205	0.3534360935
206	0.3527981241
207	0.3523875163
208	0.3519809624
209	0.3516204384
210	0.3511401243
211	0.3506489997
212	0.3498287412
213	0.3487226198
214	0.3481921375
215	0.3474541414
216	0.3469886921
217	0.3465013398
218	0.3458467885
219	0.3454341537
220	0.3447445803
221	0.3441841154
222	0.3436000022
223	0.3429794875
224	0.3425173038
225	0.3419181289
226	0.3415587028
227	0.3410937601
228	0.3405954565
229	0.3398234237
230	0.3390882147
231	0.3382818919
232	0.3378508733
233	0.3373912234
234	0.3368966078
235	0.3360477462
236	0.3353094122
237	0.3349847829
238	0.3345003586
239	0.3337065355
240	0.333216734
241	0.3327722022
242	0.3324003325
243	0.3318158815
244	0.3314065687
245	0.3311533347
246	0.3308922461
247	0.3305150275
248	0.3301382311
249	0.3295679409
250	0.3290605158
251	0.3285786534
252	0.3283315286
253	0.3279896979
254	0.3273739973
255	0.3269062113
256	0.3263474355
257	0.3258792272
258	0.325540803
259	0.3248019623
260	0.3243416649
261	0.3236846361
262	0.3231845307
263	0.3227931512
264	0.3223089239
265	0.3218053276
266	0.3213089383
267	0.320791519
268	0.3202576021
269	0.319973372
270	0.3196708989
271	0.3192843617
272	0.3188911241
273	0.3184427353
274	0.318126777
275	0.3178495287
276	0.3172246504
277	0.3169194464
278	0.3164223815
279	0.316030636
280	0.3156577529
281	0.3152062954
282	0.3148189418
283	0.314395806
284	0.3140729785
285	0.3136272079
286	0.3131345911
287	0.3128079348
288	0.3124602202
289	0.3120140554
290	0.3116509413
291	0.3114077016
292	0.3107467595
293	0.3103618551
294	0.3100235717
295	0.309725772
296	0.3092644892
297	0.3085832209
298	0.308344936
299	0.3079164512
300	0.3073822528
301	0.3070709397
302	0.3067014631
303	0.3063569016
304	0.3059445765
305	0.3055433717
306	0.305235268
307	0.3047945367
308	0.3043771441
309	0.3039068243
310	0.3034741729
311	0.3028438892
312	0.3025530995
313	0.3021363543
314	0.3017767875
315	0.3012120152
316	0.3009506169
317	0.3005775649
318	0.3002167311
319	0.2998234654
320	0.2994236682
321	0.2990855256
322	0.2987643872
323	0.2985275663
324	0.2981746716
325	0.297749734
326	0.2975955977
327	0.2970809092
328	0.2966572385
329	0.2962587364
330	0.2959863585
331	0.2955144903
332	0.2949976059
333	0.2946330278
334	0.2942338782
335	0.2937269035
336	0.2934647451
337	0.2931633981
338	0.2928537742
339	0.2926356467
340	0.291880027
341	0.2915343112
342	0.2912680988
343	0.2909585312
344	0.2905424618
345	0.290163751
346	0.2899182872
347	0.2895360855
348	0.2889393599
349	0.2879368406
350	0.287703961
351	0.2874501922
352	0.2871750835
353	0.2869038599
354	0.2865861843
355	0.286353699
356	0.2861036744
357	0.2856650546
358	0.2852559389
359	0.2848646438
360	0.2845163099
361	0.2841489447
362	0.2836040764
363	0.2833559663
364	0.2828286372
365	0.2821869516
366	0.2818705992
367	0.2816927864
368	0.2813207197
369	0.2807170966
370	0.2803725915
371	0.2800319995
372	0.2794722385
373	0.2792748596
374	0.2789724709
375	0.2787134938
376	0.2783093048
377	0.2780003847
378	0.2777676178
379	0.2773016898
380	0.2765636374
381	0.2762007485
382	0.2758774986
383	0.2755884262
384	0.2753454398
385	0.2750438395
386	0.2745395393
387	0.2742915136
388	0.2740766237
389	0.2738220665
390	0.2734559964
391	0.2728546255
392	0.2725370625
393	0.27166703
394	0.2714177093
395	0.2709465449
396	0.2706986318
397	0.2703379388
398	0.2701143497
399	0.2694473548
400	0.2690355927
401	0.2686526872
402	0.2683308732
403	0.2679275006
404	0.2676020548
405	0.2672551848
406	0.2669316253
407	0.2666317986
408	0.2663067188
409	0.2658434653
410	0.2654528178
411	0.2650867758
412	0.2648342456
413	0.2645960734
414	0.2642253017
415	0.2638603013
416	0.2635554352
417	0.2631626481
418	0.2629493629
419	0.2625052815
420	0.2623190792
421	0.2619757846
422	0.2616170623
423	0.2614585905
424	0.2612237965
425	0.2609409459
426	0.2605730458
427	0.2602764848
428	0.2598803193
429	0.259445303
430	0.2591694061
431	0.2586972564
432	0.2584150814
433	0.2581059642
434	0.2578514071
435	0.2573961209
436	0.2571695757
437	0.2568886394
438	0.256613193
439	0.2562950669
440	0.2556104484
441	0.2552204484
442	0.2547540418
443	0.2543779774
444	0.2540643558
445	0.2533340736
446	0.2530585145
447	0.2527543803
448	0.2523452928
449	0.2520349932
450	0.251770104
451	0.2512888609
452	0.2509481845
453	0.2507014539
454	0.2504306807
455	0.2501177066
456	0.2497527907
457	0.2491284472
458	0.2487415722
459	0.2485424478
460	0.2482818941
461	0.2476779332
462	0.2474085959
463	0.2471260268
464	0.2468525792
465	0.2465999082
466	0.2463220688
467	0.2461101631
468	0.2457659394
469	0.2454398743
470	0.2450941586
471	0.2448640661
472	0.2446978805
473	0.2445159856
474	0.2437666158
475	0.2434292614
476	0.2429675
477	0.2421870777
478	0.2417915598
479	0.2414120889
480	0.2406295833
481	0.2403328533
482	0.2401041404
483	0.2398479504
484	0.2395053878
485	0.2391376003
486	0.2384128359
487	0.2380792822
488	0.2376764164
489	0.2373297434
490	0.2370237512
491	0.2367472068
492	0.2364330221
493	0.2361673165
494	0.2359463034
495	0.2352470032
496	0.2346219841
497	0.2342539713
498	0.2339699101
499	0.2337182809
500	0.2330054815
501	0.2325940994
502	0.2322894726
503	0.2320445015
504	0.2316777979
505	0.2315089377
506	0.2310411094
507	0.2308353973
508	0.2304721283
509	0.229957468
510	0.2297293462
511	0.2291555792
512	0.2285338117
513	0.2282960617
514	0.2279727837
515	0.2276977595
516	0.2273744112
517	0.2270340022
518	0.2267474917
519	0.2264990156
520	0.2259230103
521	0.2255168084
522	0.2249593136
523	0.2245936095
524	0.2238106956
525	0.2232104368
526	0.2229342865
527	0.2226972404
528	0.2223588162
529	0.2217175811
530	0.2212766387
531	0.220938116
532	0.2202012741
533	0.2198268989
534	0.219518936
535	0.2190243485
536	0.2187640623
537	0.2186069137
538	0.2183302848
539	0.2181776265
540	0.2177228892
541	0.2174524399
542	0.2168283779
543	0.2165295647
544	0.2163315101
545	0.2158750414
546	0.2155978917
547	0.2152867335
548	0.2149519973
549	0.2146579841
550	0.2144307492
551	0.2140288969
552	0.2137416544
553	0.2135268771
554	0.2131969832
555	0.2129045606
556	0.2126943159
557	0.212385255
558	0.2121846667
559	0.2119588817
560	0.2117196537
561	0.211074069
562	0.2106089574
563	0.2100617525
564	0.2098309281
565	0.2093413237
566	0.2090651734
567	0.2086527638
568	0.2084043439
569	0.2081340213
570	0.2076634622
571	0.2074312161
572	0.2071477038
573	0.2068137982
574	0.2064494735
575	0.2061112745
576	0.2058394597
577	0.2056401805
578	0.2050341786
579	0.2047448528
580	0.2045555537
581	0.2042983784
582	0.2039627976
583	0.2036544406
584	0.2033959983
585	0.2030646264
586	0.2027264416
587	0.202386286
