iter	Passed	Remaining
0	5	5877
1	9	4671
2	12	4238
3	16	4020
4	21	4347
5	26	4315
6	30	4319
7	35	4459
8	40	4513
9	44	4402
10	47	4312
11	53	4381
12	57	4371
13	60	4288
14	64	4218
15	69	4270
16	72	4205
17	76	4149
18	79	4101
19	84	4123
20	87	4092
21	91	4047
22	94	4009
23	98	3989
24	102	4002
25	106	3971
26	109	3940
27	112	3917
28	118	3954
29	121	3926
30	124	3900
31	128	3882
32	135	3958
33	139	3973
34	143	3964
35	148	3967
36	152	3969
37	155	3946
38	159	3926
39	163	3924
40	167	3918
41	170	3899
42	174	3882
43	178	3869
44	182	3883
45	186	3863
46	189	3848
47	193	3835
48	198	3853
49	202	3847
50	205	3831
51	209	3816
52	214	3828
53	217	3814
54	221	3798
55	224	3786
56	229	3801
57	233	3786
58	236	3771
59	239	3758
60	244	3763
61	248	3764
62	252	3750
63	255	3739
64	260	3743
65	263	3734
66	267	3721
67	270	3708
68	274	3701
69	279	3711
70	282	3700
71	286	3688
72	289	3679
73	294	3691
74	298	3680
75	301	3670
76	305	3661
77	310	3673
78	314	3663
79	317	3655
80	321	3646
81	326	3657
82	330	3647
83	333	3636
84	336	3626
85	342	3635
86	345	3625
87	348	3615
88	352	3605
89	356	3601
90	361	3607
91	364	3598
92	368	3589
93	371	3580
94	376	3583
95	379	3574
96	382	3565
97	386	3558
98	391	3567
99	396	3569
100	400	3567
101	404	3562
102	408	3558
103	412	3550
104	415	3541
105	419	3534
106	424	3540
107	427	3532
108	431	3523
109	434	3516
110	440	3524
111	443	3516
112	446	3507
113	450	3499
114	455	3504
115	459	3502
116	462	3493
117	466	3485
118	471	3493
119	475	3485
120	478	3477
121	482	3469
122	487	3473
123	491	3469
124	494	3461
125	497	3453
126	503	3460
127	508	3463
128	512	3463
129	517	3464
130	522	3465
131	526	3462
132	530	3461
133	538	3479
134	543	3484
135	549	3490
136	553	3489
137	557	3484
138	562	3481
139	567	3487
140	572	3488
141	580	3506
142	587	3518
143	594	3536
144	603	3559
145	608	3561
146	614	3566
147	637	3667
148	641	3663
149	650	3685
150	656	3692
151	661	3690
152	669	3707
153	674	3707
154	682	3718
155	687	3720
156	692	3718
157	701	3736
158	706	3736
159	711	3737
160	717	3737
161	720	3727
162	723	3717
163	728	3712
164	732	3709
165	736	3700
166	739	3690
167	746	3694
168	754	3709
169	765	3735
170	772	3744
171	782	3768
172	790	3779
173	801	3806
174	811	3823
175	819	3835
176	830	3861
177	835	3858
178	839	3852
179	847	3861
180	855	3869
181	862	3878
182	867	3874
183	872	3870
184	883	3892
185	889	3893
186	896	3897
187	900	3889
188	904	3882
189	913	3896
190	919	3896
191	926	3898
192	932	3897
193	935	3887
194	940	3883
195	945	3876
196	949	3868
197	952	3858
198	958	3857
199	961	3847
200	965	3837
201	969	3828
202	975	3829
203	979	3822
204	982	3812
205	986	3801
206	991	3798
207	995	3788
208	998	3779
209	1002	3770
210	1009	3775
211	1014	3772
212	1018	3762
213	1024	3762
214	1027	3753
215	1031	3743
216	1035	3735
217	1040	3733
218	1044	3726
219	1048	3716
220	1054	3716
221	1057	3707
222	1061	3697
223	1064	3688
224	1069	3683
225	1073	3674
226	1076	3665
227	1079	3656
228	1083	3647
229	1088	3643
230	1091	3634
231	1094	3624
232	1098	3616
233	1104	3614
234	1107	3605
235	1111	3596
236	1114	3589
237	1120	3588
238	1124	3581
239	1128	3572
240	1131	3563
241	1138	3566
242	1142	3557
243	1145	3548
244	1149	3543
245	1155	3542
246	1159	3533
247	1162	3526
248	1171	3534
249	1175	3525
250	1178	3517
251	1185	3519
252	1189	3511
253	1192	3503
254	1200	3507
255	1204	3500
256	1207	3491
257	1211	3483
258	1217	3482
259	1220	3474
260	1225	3468
261	1230	3467
262	1234	3460
263	1239	3455
264	1243	3447
265	1249	3447
266	1252	3439
267	1257	3433
268	1261	3427
269	1267	3425
270	1270	3417
271	1273	3409
272	1277	3402
273	1282	3397
274	1286	3392
275	1290	3385
276	1296	3384
277	1301	3379
278	1305	3372
279	1308	3364
280	1315	3366
281	1319	3360
282	1323	3352
283	1328	3348
284	1332	3343
285	1336	3336
286	1339	3328
287	1348	3334
288	1352	3328
289	1356	3320
290	1364	3324
291	1367	3316
292	1370	3308
293	1375	3304
294	1380	3300
295	1384	3292
296	1387	3284
297	1395	3287
298	1399	3279
299	1402	3271
300	1405	3264
301	1412	3263
302	1415	3255
303	1418	3248
304	1423	3243
305	1427	3236
306	1430	3229
307	1433	3221
308	1437	3213
309	1445	3217
310	1448	3210
311	1452	3202
312	1460	3206
313	1463	3198
314	1467	3190
315	1471	3185
316	1478	3184
317	1481	3177
318	1484	3169
319	1493	3173
320	1496	3166
321	1500	3158
322	1506	3157
323	1510	3150
324	1513	3143
325	1517	3136
326	1525	3138
327	1528	3131
328	1531	3124
329	1540	3127
330	1544	3120
331	1547	3113
332	1551	3107
333	1558	3108
334	1562	3102
335	1566	3095
336	1574	3096
337	1577	3089
338	1580	3082
339	1589	3084
340	1592	3077
341	1595	3070
342	1599	3063
343	1606	3064
344	1610	3057
345	1613	3050
346	1621	3051
347	1625	3044
348	1628	3037
349	1632	3031
350	1639	3031
351	1643	3025
352	1646	3018
353	1655	3021
354	1658	3014
355	1662	3008
356	1671	3010
357	1675	3004
358	1678	2997
359	1688	3001
360	1692	2995
361	1703	3002
362	1707	2996
363	1711	2990
364	1720	2993
365	1724	2986
366	1728	2981
367	1736	2983
368	1740	2976
369	1744	2969
370	1752	2971
371	1756	2965
372	1760	2958
373	1769	2961
374	1772	2954
375	1776	2948
376	1785	2950
377	1790	2945
378	1794	2941
379	1803	2941
380	1806	2935
381	1814	2935
382	1818	2929
383	1822	2923
384	1828	2920
385	1834	2917
386	1837	2910
387	1847	2913
388	1851	2907
389	1855	2901
390	1861	2899
391	1866	2894
392	1870	2888
393	1874	2882
394	1880	2880
395	1884	2874
396	1887	2867
397	1894	2866
398	1898	2859
399	1901	2852
400	1905	2846
401	1913	2845
402	1916	2839
403	1920	2832
404	1927	2831
405	1931	2825
406	1934	2818
407	1938	2812
408	1943	2808
409	1947	2801
410	1950	2794
411	1953	2788
412	1958	2784
413	1962	2777
414	1965	2770
415	1969	2764
416	1974	2760
417	1977	2753
418	1981	2747
419	1984	2740
420	1989	2736
421	1993	2731
422	1998	2725
423	2001	2719
424	2006	2715
425	2010	2708
426	2013	2701
427	2016	2695
428	2021	2691
429	2025	2684
430	2028	2678
431	2032	2671
432	2038	2668
433	2041	2662
434	2045	2656
435	2049	2651
436	2054	2647
437	2058	2641
438	2061	2634
439	2065	2628
440	2070	2624
441	2073	2617
442	2076	2611
443	2080	2605
444	2085	2601
445	2090	2596
446	2093	2589
447	2096	2583
448	2101	2579
449	2105	2572
450	2108	2566
451	2111	2560
452	2115	2554
453	2120	2549
454	2123	2543
455	2126	2537
456	2130	2531
457	2135	2527
458	2139	2521
459	2142	2515
460	2146	2509
461	2151	2505
462	2155	2499
463	2158	2493
464	2162	2487
465	2167	2483
466	2170	2477
467	2173	2471
468	2177	2465
469	2181	2460
470	2185	2454
471	2188	2448
472	2192	2442
473	2195	2436
474	2200	2431
475	2203	2425
476	2207	2419
477	2211	2414
478	2216	2410
479	2219	2404
480	2222	2398
481	2226	2393
482	2231	2388
483	2235	2383
484	2238	2377
