iter	Logloss
0	0.6835378949
1	0.6749025464
2	0.6658573503
3	0.6583221548
4	0.649886916
5	0.6426762655
6	0.6359220836
7	0.6286936405
8	0.6217577044
9	0.6152573476
10	0.6091130668
11	0.6033235107
12	0.5974850813
13	0.5920410156
14	0.5864467269
15	0.5812697182
16	0.5765812159
17	0.571962983
18	0.5669670527
19	0.5622139681
20	0.5574588001
21	0.5534394324
22	0.5505073801
23	0.5466683588
24	0.5430555168
25	0.5400905257
26	0.5373004758
27	0.5339703437
28	0.5305385238
29	0.526960197
30	0.523858102
31	0.5203516774
32	0.5179622974
33	0.5149574984
34	0.5117831072
35	0.5089888344
36	0.5060716467
37	0.5032808086
38	0.5006949224
39	0.498329416
40	0.4954951663
41	0.4927177851
42	0.4903670307
43	0.4881207793
44	0.4859406306
45	0.483159477
46	0.4809597339
47	0.4788389875
48	0.4760466854
49	0.4740825245
50	0.4721288083
51	0.4701335668
52	0.4681703349
53	0.4659711549
54	0.4642623113
55	0.4624525683
56	0.46078784
57	0.4587214846
58	0.4567348579
59	0.4545944045
60	0.4529242991
61	0.4513779531
62	0.4495869879
63	0.4477622113
64	0.4467007683
65	0.4450821542
66	0.4435820351
67	0.4417797807
68	0.4402015376
69	0.4390140266
70	0.4372841247
71	0.4357639045
72	0.4341726268
73	0.432826475
74	0.4316267175
75	0.4301989791
76	0.4284935701
77	0.4272783005
78	0.425967762
79	0.424754463
80	0.4234784679
81	0.4223656461
82	0.4209073338
83	0.4193000371
84	0.4181414671
85	0.4169742824
86	0.4157837871
87	0.4148680627
88	0.4136877306
89	0.4127792415
90	0.4113776569
91	0.410388848
92	0.4092286451
93	0.4081339819
94	0.4072319678
95	0.4059954992
96	0.4048515967
97	0.403764028
98	0.4028151959
99	0.4017871702
100	0.4007106091
101	0.3995616392
102	0.3987398605
103	0.3977260801
104	0.3967566121
105	0.3955525191
106	0.3943132351
107	0.3935513655
108	0.3928007569
109	0.391794071
110	0.390714948
111	0.3898386375
112	0.3888376102
113	0.3881358185
114	0.3868034053
115	0.3858832891
116	0.3846606153
117	0.3839315154
118	0.3831116511
119	0.3821428588
120	0.381085892
121	0.3799455931
122	0.3790390747
123	0.3785555794
124	0.377666403
125	0.3763393388
126	0.3755498795
127	0.3748795062
128	0.3741099227
129	0.3733420003
130	0.3725747253
131	0.3717969493
132	0.3711372178
133	0.3704713772
134	0.3694829061
135	0.3688157704
136	0.3681525762
137	0.3673207188
138	0.3663360483
139	0.3658250478
140	0.3649579713
141	0.3642267319
142	0.3635370459
143	0.3626060064
144	0.3618015979
145	0.3611984534
146	0.3604150751
147	0.3598708825
148	0.3590407424
149	0.3584791796
150	0.3577869598
151	0.3569993867
152	0.3562862776
153	0.3554950728
154	0.3546426358
155	0.3538705748
156	0.3532029324
157	0.3525005495
158	0.3520820026
159	0.351427761
160	0.3509436182
161	0.3502320293
162	0.3498264608
163	0.3492629836
164	0.3484030861
165	0.3477780106
166	0.3473235971
167	0.3467049687
168	0.3460289649
169	0.345504254
170	0.3448628218
171	0.3443258363
172	0.3437752249
173	0.3433195445
174	0.342587939
175	0.342190563
176	0.3415025099
177	0.3408879354
178	0.3403180112
179	0.3396310278
180	0.3389322767
181	0.3382137059
182	0.337650651
183	0.3371901283
184	0.3365227112
185	0.3360903694
186	0.3355327198
187	0.3350287856
188	0.334495094
189	0.3339164706
190	0.3331860194
191	0.3326880536
192	0.3322779525
193	0.331545784
194	0.3309392612
195	0.3303410717
196	0.3296231485
197	0.3291009713
198	0.3285865361
199	0.3281118527
200	0.3278282419
201	0.3271439331
202	0.3266379719
203	0.3261791947
204	0.3251017328
205	0.3245455471
206	0.3238875892
207	0.3233804175
208	0.3226427029
209	0.3221102218
210	0.3216091029
211	0.3210343927
212	0.3205631721
213	0.320049497
214	0.319526419
215	0.319179183
216	0.3187014309
217	0.3180768059
218	0.3176616655
219	0.3171965539
220	0.3166920848
221	0.3163465662
222	0.3160009067
223	0.3156627359
224	0.3149591425
225	0.3144460305
226	0.3139255988
227	0.3133924984
228	0.3126805717
229	0.3123425135
230	0.3119222212
231	0.3115642027
232	0.3111168274
233	0.3102219641
234	0.3097015043
235	0.30921708
236	0.3086985908
237	0.3082710632
238	0.3078061487
239	0.3074092232
240	0.3068643267
241	0.3065658795
242	0.306246205
243	0.3058732656
244	0.3055080963
245	0.3049084991
246	0.3043189242
247	0.3035914009
248	0.3032437708
249	0.3028732525
250	0.3023529053
251	0.3018960706
252	0.3013273288
253	0.3009888484
254	0.3005881222
255	0.3001563716
256	0.2995180925
257	0.2989620195
258	0.2983848318
259	0.2979944095
260	0.2973261196
261	0.2969403707
262	0.2966139677
263	0.2962555269
264	0.2957080405
265	0.2953907309
266	0.2948847134
267	0.2946622222
268	0.2942842716
269	0.2939977892
270	0.2934932357
271	0.2930903417
272	0.2927684714
273	0.2924234031
274	0.2920869778
275	0.29178107
276	0.2913934912
277	0.2909119666
278	0.2905645054
279	0.2901602601
280	0.2898286489
281	0.2895264573
282	0.2891789679
283	0.2886786091
284	0.2881598103
285	0.2877241747
286	0.2872761519
287	0.2868415861
288	0.2863185925
289	0.2859546619
290	0.2855979103
291	0.2852555729
292	0.2849617708
293	0.2846414489
294	0.2843856248
295	0.2837783419
296	0.2834142706
297	0.2831991836
298	0.2825831452
299	0.2822942136
300	0.2818989208
301	0.2814780654
302	0.2811269725
303	0.2808364361
304	0.2804885808
305	0.2803095856
306	0.279975863
307	0.2795841738
308	0.2792056038
309	0.2787652667
310	0.2783651598
311	0.2779223453
312	0.2775975189
313	0.2769551858
314	0.2765666779
315	0.2762837709
316	0.2760027783
317	0.2757045281
318	0.2752326599
319	0.2748537521
320	0.2746040372
321	0.2741305925
322	0.27383451
323	0.2735675657
324	0.2731585626
325	0.272882356
326	0.2723612486
327	0.272149371
328	0.2718632547
329	0.2716469008
330	0.2713703564
331	0.2709039217
332	0.2704807296
333	0.2700911518
334	0.2697971245
335	0.2695410472
336	0.2692452462
337	0.2689039505
338	0.2686351762
339	0.2682163759
340	0.2679388462
341	0.2677259832
342	0.2674138819
343	0.2669598062
344	0.2664031138
345	0.2662475699
346	0.2659070342
347	0.2654559146
348	0.2648320779
349	0.264555083
350	0.2641453761
351	0.2638983639
352	0.2634289731
353	0.2630307806
354	0.2627373727
355	0.2623999339
356	0.2620159022
357	0.2617012953
358	0.2613937547
359	0.2610743055
360	0.2607052511
361	0.260408859
362	0.2599854698
363	0.2594527354
364	0.2590747003
365	0.2588039835
366	0.2583846483
367	0.2582236146
368	0.2578864573
369	0.2574573249
370	0.2569289542
371	0.2567215247
372	0.2564126046
373	0.2561885932
374	0.2559230847
375	0.2555150951
376	0.2551454776
377	0.2549639487
378	0.2546531987
379	0.2542290776
380	0.2540664673
381	0.2534878157
382	0.2533101719
383	0.252972902
384	0.2526776641
385	0.2522853274
386	0.2517975248
387	0.2514756544
388	0.2510140338
389	0.2507032556
390	0.2502791626
391	0.2499721288
392	0.2496215989
393	0.2492983209
394	0.248849735
395	0.2484921389
396	0.2481213109
397	0.2479128679
398	0.247580947
399	0.2472920998
400	0.2470410899
401	0.2467588868
402	0.2461492672
403	0.24571076
404	0.2454178025
405	0.2449877975
406	0.2447766237
407	0.2442857524
408	0.2438905723
409	0.2434148472
410	0.2431404142
411	0.2428277498
412	0.2426124376
413	0.2421974942
414	0.2418044537
415	0.2416403514
416	0.2413332893
417	0.2408901088
418	0.2405608061
419	0.2401493819
420	0.2397908566
421	0.2394803881
422	0.2390343078
423	0.2387430114
424	0.2383705505
425	0.2380632914
426	0.2377515279
427	0.2375553033
428	0.2372464676
429	0.2369073396
430	0.2364978861
431	0.2362714535
432	0.2360175298
433	0.2356995023
434	0.2354835567
435	0.2351571537
436	0.2349052851
437	0.234603178
438	0.2343229456
439	0.2339322699
440	0.2336564011
441	0.2334045889
442	0.2330895456
443	0.2328318494
444	0.232367864
445	0.2321055789
446	0.2316802894
447	0.2314245358
448	0.2311273554
449	0.2308422807
450	0.230491413
451	0.2301608856
452	0.2299672651
453	0.2296163974
454	0.2291635183
455	0.228821209
456	0.2285292509
457	0.228133001
458	0.2278938153
459	0.227552984
460	0.2272436135
461	0.2269342289
462	0.2267014479
463	0.2264163591
464	0.2261409267
465	0.2257648482
466	0.225385124
467	0.2249964471
468	0.2247222394
469	0.2245665265
470	0.2243022848
471	0.2240615507
472	0.2238213514
473	0.2234419791
474	0.2232575505
475	0.2227793901
476	0.222147558
477	0.2217939454
478	0.2215973407
479	0.221101599
480	0.2206340945
481	0.2202459666
482	0.2198415383
483	0.2194809439
484	0.219193448
485	0.218911456
486	0.2185631361
487	0.2179359915
488	0.217673453
489	0.2170839204
490	0.2168935515
491	0.2165842655
492	0.2161274871
493	0.2158307572
494	0.2155177831
495	0.2153241485
496	0.2149966616
497	0.2146774236
498	0.2143366205
499	0.2141803024
500	0.2139214801
501	0.2137134172
502	0.2134403919
503	0.2131096956
504	0.2128823481
505	0.2126644318
506	0.2121134684
507	0.2118778299
508	0.2115107462
509	0.2111618915
510	0.210967539
511	0.2107212024
512	0.2104735709
513	0.2100106271
514	0.2097315489
515	0.2094492754
516	0.2090799958
517	0.2088373473
518	0.2086133781
519	0.2082651708
520	0.2080101773
521	0.2078364186
522	0.2075906732
523	0.2072346536
524	0.2069195962
525	0.2067037772
526	0.2064466864
527	0.2059454267
528	0.2056787639
529	0.2054974883
530	0.2052374132
531	0.2049478763
532	0.2047146308
533	0.2043947171
534	0.2041850917
535	0.203897807
536	0.2036699387
537	0.203500262
538	0.2032438187
539	0.2026844658
540	0.2022085999
541	0.2018136169
542	0.2015857908
543	0.2011238183
544	0.2008281863
545	0.2004760376
546	0.2001750988
547	0.1997066371
548	0.1994276997
549	0.1992464242
550	0.1988486399
551	0.1985479263
552	0.1981262826
553	0.1979467807
554	0.1976542314
555	0.1974378072
556	0.1969014129
557	0.1967246137
558	0.196429235
559	0.1960235962
560	0.1958175603
561	0.1955672542
562	0.1952890065
563	0.1949842953
564	0.1946593844
565	0.1943641466
566	0.1941770997
567	0.1939178833
568	0.1935415514
569	0.1932407112
570	0.1930454719
571	0.192825796
572	0.1924496753
573	0.1921254119
574	0.1916043187
575	0.191375479
576	0.1911169101
577	0.1908856916
578	0.1907120596
579	0.1904687635
580	0.1901484134
581	0.1899270202
582	0.1896414528
583	0.1892802671
584	0.1890324103
585	0.1888341868
586	0.1884796593
587	0.1880480495
588	0.1877228712
589	0.187517145
590	0.18728435
591	0.1869573558
592	0.1863155154
593	0.1861300873
594	0.1857591467
595	0.1854937648
596	0.1852721746
597	0.1851266108
598	0.184896631
599	0.1845950869
600	0.1843581534
601	0.1840997675
602	0.1838774734
603	0.183603519
604	0.1834578848
605	0.1832935291
606	0.1831656312
607	0.1829196888
608	0.1826525051
609	0.1824483273
610	0.1821962335
611	0.1819346804
612	0.1817729288
613	0.1815561105
614	0.181338349
