iter	Passed	Remaining
0	4	4693
1	8	4363
2	14	4924
3	19	4821
4	26	5318
5	32	5332
6	36	5213
7	41	5154
8	45	5063
9	52	5199
10	57	5126
11	64	5310
12	70	5322
13	73	5173
14	77	5112
15	82	5070
16	87	5058
17	90	4961
18	97	5025
19	101	4963
20	105	4897
21	108	4840
22	113	4808
23	116	4740
24	119	4672
25	123	4616
26	127	4611
27	131	4562
28	134	4513
29	137	4461
30	142	4459
31	147	4468
32	151	4434
33	154	4399
34	160	4426
35	166	4456
36	170	4435
37	175	4446
38	181	4465
39	184	4439
40	188	4405
41	193	4409
42	197	4387
43	200	4355
44	203	4327
45	208	4316
46	212	4302
47	215	4272
48	218	4243
49	222	4234
50	226	4214
51	229	4187
52	232	4162
53	236	4142
54	240	4137
55	244	4128
56	248	4106
57	251	4085
58	255	4080
59	260	4076
60	263	4059
61	269	4080
62	274	4081
63	277	4061
64	281	4043
65	284	4026
66	289	4028
67	292	4010
68	295	3992
69	299	3974
70	304	3982
71	307	3965
72	310	3947
73	314	3929
74	318	3922
75	322	3919
76	327	3926
77	330	3910
78	335	3909
79	339	3904
80	345	3919
81	349	3910
82	353	3910
83	359	3915
84	362	3900
85	365	3889
86	370	3886
87	373	3875
88	377	3860
89	380	3844
90	384	3840
91	388	3832
92	391	3818
93	394	3805
94	398	3797
95	403	3796
96	408	3802
97	412	3794
98	416	3792
99	420	3788
100	424	3776
101	427	3766
102	431	3760
103	436	3759
104	439	3747
105	443	3739
106	447	3731
107	452	3736
108	456	3731
109	459	3719
110	464	3717
111	468	3713
112	471	3703
113	474	3691
114	478	3682
115	483	3681
116	489	3692
117	492	3681
118	497	3680
119	501	3679
120	505	3670
121	508	3659
122	512	3657
123	517	3656
124	521	3647
125	524	3636
126	528	3635
127	532	3630
128	536	3620
129	539	3610
130	544	3610
131	551	3624
132	555	3621
133	558	3612
134	563	3610
135	572	3637
136	578	3645
137	583	3643
138	592	3670
139	599	3684
140	603	3676
141	607	3670
142	612	3669
143	627	3732
144	634	3744
145	646	3781
146	653	3792
147	668	3850
148	705	4030
149	712	4037
150	731	4113
151	739	4123
152	746	4133
153	769	4226
154	775	4227
155	779	4218
156	784	4210
157	791	4219
158	795	4209
159	799	4199
160	804	4193
161	808	4182
162	812	4169
163	815	4157
164	819	4145
165	824	4141
166	827	4127
167	831	4118
168	835	4108
169	840	4103
170	843	4091
171	847	4079
172	850	4066
173	857	4069
174	860	4057
175	865	4050
176	870	4046
177	874	4037
178	877	4026
179	881	4014
180	885	4008
181	889	3996
182	892	3984
183	895	3972
184	899	3961
185	904	3957
186	907	3946
187	911	3934
188	915	3926
189	920	3922
190	924	3914
191	929	3909
192	935	3910
193	939	3902
194	943	3893
195	946	3882
196	952	3880
197	955	3869
198	958	3858
199	961	3847
200	966	3843
201	970	3835
202	974	3824
203	977	3814
204	982	3811
205	986	3801
206	989	3791
207	992	3780
208	996	3772
209	1001	3768
210	1006	3762
211	1010	3756
212	1016	3756
213	1020	3749
214	1024	3740
215	1028	3732
216	1033	3729
217	1037	3719
218	1040	3711
219	1044	3701
220	1050	3701
221	1054	3693
222	1057	3684
223	1061	3677
224	1066	3672
225	1069	3662
226	1072	3652
227	1077	3648
228	1082	3643
229	1086	3637
230	1089	3628
231	1095	3627
232	1100	3624
233	1104	3614
234	1107	3606
235	1115	3612
236	1119	3604
237	1123	3597
238	1130	3599
239	1134	3593
240	1138	3584
241	1143	3582
242	1149	3580
243	1152	3571
244	1156	3563
245	1164	3569
246	1167	3560
247	1171	3551
248	1177	3550
249	1181	3545
250	1185	3536
251	1188	3528
252	1196	3532
253	1199	3523
254	1203	3515
255	1210	3516
256	1215	3513
257	1218	3504
258	1222	3497
259	1229	3498
260	1233	3493
261	1237	3484
262	1244	3488
263	1248	3481
264	1252	3472
265	1258	3473
266	1262	3466
267	1265	3457
268	1269	3449
269	1276	3450
270	1280	3444
271	1284	3436
272	1292	3441
273	1296	3436
274	1300	3429
275	1309	3435
276	1313	3429
277	1318	3424
278	1326	3427
279	1330	3421
280	1335	3418
281	1343	3420
282	1347	3414
283	1356	3419
284	1361	3416
285	1366	3411
286	1374	3414
287	1378	3408
288	1384	3405
289	1393	3412
290	1399	3409
291	1407	3413
292	1411	3406
293	1415	3398
294	1422	3399
295	1426	3393
296	1431	3387
297	1439	3390
298	1442	3382
299	1445	3373
300	1453	3375
301	1457	3368
302	1460	3360
303	1465	3355
304	1470	3350
305	1473	3342
306	1477	3334
307	1482	3330
308	1488	3328
309	1491	3320
310	1495	3312
311	1503	3314
312	1506	3307
313	1510	3299
314	1517	3299
315	1520	3291
316	1523	3283
317	1527	3275
318	1535	3277
319	1539	3270
320	1542	3262
321	1548	3260
322	1552	3254
323	1555	3245
324	1559	3239
325	1567	3240
326	1570	3232
327	1573	3224
328	1580	3223
329	1585	3218
330	1588	3210
331	1592	3203
332	1599	3203
333	1602	3196
334	1606	3188
335	1612	3186
336	1616	3181
337	1620	3173
338	1623	3165
339	1630	3165
340	1634	3159
341	1638	3152
342	1645	3152
343	1649	3146
344	1654	3140
345	1663	3144
346	1667	3138
347	1672	3134
348	1681	3135
349	1684	3128
350	1687	3120
351	1695	3121
352	1699	3114
353	1702	3106
354	1707	3101
355	1712	3097
356	1715	3090
357	1719	3082
358	1725	3080
359	1730	3076
360	1733	3068
361	1737	3062
362	1744	3061
363	1747	3053
364	1751	3047
365	1759	3047
366	1762	3040
367	1766	3033
368	1769	3026
369	1777	3025
370	1780	3018
371	1783	3010
372	1790	3009
373	1794	3004
374	1798	2996
375	1801	2989
376	1808	2988
377	1811	2981
378	1815	2973
379	1819	2969
380	1825	2966
381	1829	2959
382	1832	2952
383	1841	2953
384	1844	2946
385	1847	2939
386	1853	2936
387	1857	2930
388	1861	2923
389	1864	2916
390	1870	2913
391	1875	2909
392	1878	2902
393	1886	2901
394	1891	2896
395	1894	2889
396	1897	2882
397	1903	2879
398	1906	2872
399	1910	2865
400	1916	2863
401	1922	2859
402	1925	2853
403	1931	2849
404	1936	2844
405	1940	2839
406	1944	2833
407	1949	2828
408	1952	2821
409	1956	2815
410	1959	2808
411	1963	2801
412	1966	2795
413	1970	2789
414	1973	2782
415	1977	2775
416	1982	2771
417	1985	2764
418	1988	2757
419	1992	2751
420	1996	2745
421	1999	2739
422	2003	2732
423	2006	2725
424	2009	2718
425	2014	2714
426	2018	2708
427	2021	2701
428	2024	2695
429	2030	2691
430	2034	2685
431	2037	2678
432	2040	2672
433	2046	2669
434	2050	2663
435	2053	2656
436	2056	2649
437	2062	2645
438	2065	2639
439	2068	2632
440	2072	2626
441	2077	2622
442	2081	2616
443	2084	2610
444	2087	2603
445	2092	2598
446	2096	2593
447	2099	2586
448	2102	2580
449	2105	2573
450	2111	2570
451	2114	2564
452	2118	2557
453	2121	2551
454	2127	2548
455	2131	2542
456	2134	2536
457	2138	2530
458	2144	2527
459	2147	2521
460	2151	2514
461	2154	2508
462	2158	2503
463	2161	2497
464	2164	2490
465	2168	2484
466	2172	2479
467	2176	2474
468	2180	2468
469	2183	2462
470	2187	2456
471	2191	2451
472	2194	2445
473	2198	2439
474	2202	2434
475	2208	2430
476	2212	2425
477	2216	2421
478	2229	2424
479	2232	2418
480	2236	2412
481	2241	2408
482	2244	2402
483	2247	2396
484	2250	2390
485	2255	2385
486	2258	2379
487	2262	2373
488	2265	2367
489	2269	2361
490	2274	2357
491	2278	2352
492	2281	2346
493	2285	2340
494	2289	2335
495	2292	2329
496	2295	2323
497	2298	2317
498	2303	2312
499	2307	2307
500	2310	2301
501	2314	2296
502	2320	2293
503	2324	2287
504	2327	2281
505	2331	2275
506	2337	2272
507	2340	2267
508	2344	2261
509	2347	2255
510	2354	2252
511	2357	2247
512	2361	2241
513	2365	2236
514	2371	2232
515	2374	2227
516	2378	2221
517	2382	2216
518	2386	2211
519	2389	2205
520	2393	2200
521	2397	2195
522	2401	2190
523	2405	2184
524	2409	2179
525	2413	2175
526	2418	2170
527	2422	2165
528	2425	2159
529	2430	2155
530	2434	2150
531	2438	2145
532	2441	2139
533	2448	2136
534	2452	2131
535	2455	2125
536	2459	2120
537	2465	2117
538	2469	2112
539	2475	2108
540	2482	2106
541	2487	2101
542	2492	2097
543	2497	2093
544	2501	2088
545	2504	2082
546	2508	2077
547	2514	2074
548	2518	2068
549	2521	2063
550	2526	2058
551	2531	2054
552	2534	2048
553	2538	2043
554	2543	2039
555	2548	2034
556	2551	2029
557	2554	2023
558	2560	2019
559	2564	2014
560	2568	2009
561	2571	2004
562	2577	2000
563	2580	1994
564	2584	1989
565	2587	1984
566	2593	1980
567	2596	1974
568	2599	1969
569	2603	1963
570	2608	1960
571	2612	1955
572	2616	1950
573	2620	1944
574	2626	1941
575	2630	1936
576	2633	1930
577	2637	1925
578	2643	1922
579	2647	1917
580	2650	1911
581	2655	1906
582	2661	1903
583	2665	1898
584	2668	1893
585	2673	1889
586	2677	1883
587	2681	1878
588	2684	1873
589	2689	1869
590	2693	1863
591	2696	1858
592	2700	1853
593	2705	1849
594	2709	1844
595	2713	1839
596	2718	1835
597	2724	1831
598	2727	1826
599	2731	1821
600	2737	1817
601	2741	1812
602	2745	1807
603	2749	1802
604	2756	1799
605	2759	1794
606	2763	1789
607	2766	1783
608	2772	1779
609	2775	1774
610	2779	1769
611	2782	1764
612	2788	1760
613	2792	1755
614	2796	1750
615	2801	1746
616	2807	1742
617	2811	1737
618	2814	1732
619	2821	1729
620	2824	1724
621	2828	1718
622	2832	1714
623	2838	1710
624	2841	1705
625	2845	1699
626	2851	1696
627	2855	1691
628	2858	1686
629	2861	1680
630	2867	1676
631	2870	1671
632	2873	1666
633	2877	1660
634	2882	1656
635	2885	1651
636	2889	1646
637	2892	1641
638	2896	1636
639	2901	1632
640	2905	1626
641	2908	1621
642	2912	1617
643	2916	1612
644	2919	1607
645	2922	1601
646	2926	1596
647	2932	1593
648	2936	1587
649	2939	1582
650	2942	1577
651	2948	1573
652	2951	1568
653	2955	1563
654	2958	1558
655	2963	1554
656	2966	1548
657	2970	1543
658	2973	1538
659	2978	1534
660	2981	1529
661	2985	1524
662	2988	1518
663	2992	1514
664	2996	1509
665	2999	1504
666	3003	1499
667	3006	1494
668	3010	1489
669	3014	1484
670	3017	1479
671	3021	1474
672	3026	1470
673	3030	1465
674	3034	1460
675	3037	1455
676	3043	1451
677	3046	1447
678	3050	1441
679	3053	1436
680	3057	1432
681	3061	1427
682	3064	1422
683	3068	1417
684	3071	1412
685	3075	1407
686	3079	1402
687	3082	1397
688	3085	1392
689	3091	1388
690	3095	1384
691	3098	1379
692	3101	1374
693	3107	1370
694	3111	1365
695	3115	1360
696	3120	1356
697	3125	1352
698	3128	1347
699	3131	1342
700	3134	1337
701	3142	1333
702	3145	1328
703	3148	1323
704	3153	1319
705	3157	1314
706	3160	1309
707	3163	1304
708	3167	1300
709	3173	1296
710	3176	1291
711	3180	1286
712	3183	1281
713	3189	1277
714	3192	1272
715	3195	1267
716	3199	1262
717	3204	1258
718	3208	1253
719	3211	1248
720	3214	1243
721	3220	1239
722	3223	1234
723	3226	1230
724	3229	1225
725	3236	1221
726	3241	1217
727	3245	1212
728	3251	1208
729	3254	1203
730	3258	1199
731	3261	1194
732	3265	1189
733	3269	1184
734	3272	1180
735	3276	1175
736	3279	1170
737	3285	1166
738	3288	1161
739	3292	1156
740	3295	1151
741	3299	1147
742	3303	1142
743	3306	1137
744	3310	1133
745	3314	1128
746	3318	1123
747	3321	1119
748	3325	1114
749	3328	1109
750	3335	1105
751	3338	1101
752	3341	1096
753	3345	1091
754	3350	1087
755	3353	1082
756	3357	1077
757	3360	1072
758	3364	1068
759	3368	1063
760	3371	1058
761	3374	1054
762	3379	1049
